scheduled_departure,scheduled_arrival,carrier,origin,destination,distance_km,weather_wind1,weather_wind2,weather_rain1,weather_rain2,weather_visibility_km,noise_1,noise_2,noise_3,route,scheduled_duration_min,departure_hour,is_holiday,is_late_night,high_precipitation,limited_visibility,holiday_late_night,destination_limited_visibility,departure_delay_min,actual_departure,actual_arrival,arrival_delay_min,delayed_15_min
2025-09-05 07:15:00,2025-09-05 10:32:00,DL,DEN,LAX,2028,3.46,3.0,0.0,0.0,16.91,1.1738,-0.4363,51,DEN-LAX,197,7,0,0,0,0,0,0,7,2025-09-05 07:22:00,2025-09-05 10:42:00,10,0
2025-10-12 21:40:00,2025-10-13 01:32:00,B6,BOS,JFK,2458,10.49,15.92,0.11,0.34,17.22,0.1298,-0.8353,51,BOS-JFK,232,21,0,1,0,0,0,0,30,2025-10-12 22:10:00,2025-10-13 02:11:00,39,1
2025-10-05 10:15:00,2025-10-05 16:26:00,AA,BOS,ATL,4205,5.16,7.26,0.1,0.0,16.7,0.5329,-0.7922,45,BOS-ATL,371,10,0,0,0,0,0,0,-2,2025-10-05 10:13:00,2025-10-05 16:14:00,-12,0
2025-03-13 03:30:00,2025-03-13 08:35:00,DL,DEN,BOS,3378,9.93,12.6,0.52,0.0,12.34,0.7304,0.4613,80,DEN-BOS,305,3,0,1,0,0,0,0,5,2025-03-13 03:35:00,2025-03-13 08:39:00,4,0
2025-05-13 23:45:00,2025-05-14 01:59:00,B6,LAX,BOS,1234,9.8,9.4,0.76,0.78,14.11,-0.1766,0.1124,92,LAX-BOS,134,23,0,1,0,0,0,0,4,2025-05-13 23:49:00,2025-05-14 01:57:00,-2,0
2025-06-20 21:20:00,2025-06-21 01:10:00,B6,SEA,SFO,2442,12.22,12.11,0.88,2.91,16.93,-0.7971,-0.7415,21,SEA-SFO,230,21,0,1,0,0,0,0,13,2025-06-20 21:33:00,2025-06-21 01:20:00,10,0
2025-07-01 01:20:00,2025-07-01 03:19:00,UA,ORD,BOS,1053,6.05,9.44,0.06,0.0,15.57,-1.1143,-0.1945,27,ORD-BOS,119,1,0,1,0,0,0,0,11,2025-07-01 01:31:00,2025-07-01 03:36:00,17,1
2025-01-16 21:15:00,2025-01-17 00:53:00,B6,ORD,BOS,2290,19.18,17.81,1.2,0.89,15.57,-0.1307,-0.5321,29,ORD-BOS,218,21,0,1,0,0,0,0,-4,2025-01-16 21:11:00,2025-01-17 00:55:00,2,0
2025-07-19 22:40:00,2025-07-20 02:39:00,WN,ORD,SEA,2548,2.7,2.88,0.52,0.0,18.15,-0.8689,-0.1608,31,ORD-SEA,239,22,0,1,0,0,0,0,3,2025-07-19 22:43:00,2025-07-20 02:32:00,-7,0
2025-02-26 19:30:00,2025-02-26 23:20:00,DL,DFW,SEA,2441,4.17,3.91,0.19,0.0,17.78,-0.726,0.2475,73,DFW-SEA,230,19,0,0,0,0,0,0,-2,2025-02-26 19:28:00,2025-02-26 23:08:00,-12,0
2025-09-29 06:30:00,2025-09-29 09:53:00,WN,SFO,BOS,2094,3.1,4.78,0.0,0.0,16.89,1.4694,-0.7532,31,SFO-BOS,203,6,0,0,0,0,0,0,-8,2025-09-29 06:22:00,2025-09-29 09:46:00,-7,0
2025-09-07 15:00:00,2025-09-07 18:26:00,B6,BOS,LAX,2136,16.22,13.67,0.0,0.0,19.15,1.6217,0.4383,77,BOS-LAX,206,15,0,0,0,0,0,0,-10,2025-09-07 14:50:00,2025-09-07 18:18:00,-8,0
2025-12-03 12:00:00,2025-12-03 17:27:00,B6,ORD,JFK,3647,18.16,20.45,1.12,0.0,15.95,-0.3542,-0.922,92,ORD-JFK,327,12,0,0,0,0,0,0,3,2025-12-03 12:03:00,2025-12-03 17:24:00,-3,0
2025-09-29 14:00:00,2025-09-29 17:49:00,UA,ATL,LAX,2424,8.04,6.86,0.61,0.0,15.71,1.3008,-0.9788,11,ATL-LAX,229,14,0,0,0,0,0,0,-10,2025-09-29 13:50:00,2025-09-29 17:46:00,-3,0
2025-05-14 14:45:00,2025-05-14 15:58:00,AA,ORD,DEN,476,8.69,10.17,0.0,0.0,13.69,-0.189,0.6942,3,ORD-DEN,73,14,0,0,0,0,0,0,10,2025-05-14 14:55:00,2025-05-14 15:59:00,1,0
2025-12-20 15:45:00,2025-12-20 20:53:00,WN,ATL,ORD,3411,18.43,15.12,0.0,0.0,19.52,-0.3774,0.4252,44,ATL-ORD,308,15,0,0,0,0,0,0,1,2025-12-20 15:46:00,2025-12-20 21:00:00,7,0
2025-05-30 12:00:00,2025-05-30 16:27:00,AA,BOS,SEA,2894,26.92,26.08,0.16,0.17,16.48,0.3686,-0.8323,5,BOS-SEA,267,12,0,0,0,0,0,0,-10,2025-05-30 11:50:00,2025-05-30 16:28:00,1,0
2025-04-29 16:00:00,2025-04-29 20:53:00,UA,DFW,ORD,3221,10.19,11.97,0.0,0.0,19.6,-0.7467,-0.878,90,DFW-ORD,293,16,0,0,0,0,0,0,11,2025-04-29 16:11:00,2025-04-29 20:44:00,-9,0
2025-11-27 12:45:00,2025-11-27 17:43:00,WN,ORD,SFO,3284,2.03,3.26,3.4,4.36,14.21,-0.337,0.6562,88,ORD-SFO,298,12,1,0,0,0,0,0,0,2025-11-27 12:45:00,2025-11-27 17:45:00,2,0
2025-05-16 00:30:00,2025-05-16 02:27:00,UA,ATL,LAX,1027,4.07,4.88,0.43,0.0,17.39,1.3411,-0.8201,65,ATL-LAX,117,0,0,1,0,0,0,0,1,2025-05-16 00:31:00,2025-05-16 02:24:00,-3,0
2025-01-28 00:15:00,2025-01-28 06:41:00,B6,DEN,LAX,4382,15.78,18.79,0.52,0.0,17.62,0.3314,0.4885,22,DEN-LAX,386,0,0,1,0,0,0,0,-7,2025-01-28 00:08:00,2025-01-28 06:35:00,-6,0
2025-06-21 22:30:00,2025-06-22 05:02:00,B6,DFW,SFO,4459,17.56,19.81,0.0,0.0,9.56,0.3796,0.2484,39,DFW-SFO,392,22,0,1,0,0,0,0,8,2025-06-21 22:38:00,2025-06-22 04:53:00,-9,0
2025-10-18 21:10:00,2025-10-18 22:58:00,AA,ORD,JFK,912,15.13,15.62,3.92,2.89,13.3,-0.228,0.682,60,ORD-JFK,108,21,0,1,0,0,0,0,4,2025-10-18 21:14:00,2025-10-18 23:06:00,8,0
2025-03-11 14:10:00,2025-03-11 16:23:00,WN,SFO,DFW,1219,2.9,6.41,14.44,15.96,11.81,-0.3185,-0.0936,75,SFO-DFW,133,14,0,0,1,0,0,0,18,2025-03-11 14:28:00,2025-03-11 17:12:00,49,1
2025-06-18 04:15:00,2025-06-18 06:37:00,UA,LAX,DFW,1334,16.02,20.61,0.0,0.79,15.15,0.114,0.1559,40,LAX-DFW,142,4,0,1,0,0,0,0,-2,2025-06-18 04:13:00,2025-06-18 06:37:00,0,0
2025-02-17 18:50:00,2025-02-18 01:14:00,DL,JFK,SFO,4359,5.02,6.98,0.0,0.0,13.55,0.7756,-0.7247,34,JFK-SFO,384,18,1,0,0,0,0,0,9,2025-02-17 18:59:00,2025-02-18 01:21:00,7,0
2025-09-08 03:45:00,2025-09-08 09:57:00,DL,DFW,SFO,4216,9.91,9.98,0.42,0.0,14.79,0.3423,0.7694,19,DFW-SFO,372,3,0,1,0,0,0,0,-6,2025-09-08 03:39:00,2025-09-08 09:52:00,-5,0
2025-06-23 09:10:00,2025-06-23 11:38:00,B6,SEA,LAX,1413,9.4,11.49,4.14,6.09,12.34,0.6076,-0.2786,30,SEA-LAX,148,9,0,0,0,0,0,0,-10,2025-06-23 09:00:00,2025-06-23 11:27:00,-11,0
2025-05-01 07:30:00,2025-05-01 12:01:00,B6,ATL,ORD,2948,7.27,6.82,0.0,0.0,15.72,-1.8029,-0.5466,86,ATL-ORD,271,7,0,0,0,0,0,0,-2,2025-05-01 07:28:00,2025-05-01 11:53:00,-8,0
2025-03-24 00:50:00,2025-03-24 03:11:00,WN,BOS,JFK,1322,14.1,14.31,0.16,0.0,16.4,-1.0047,-0.9403,55,BOS-JFK,141,0,0,1,0,0,0,0,40,2025-03-24 01:30:00,2025-03-24 03:52:00,41,1
2025-07-26 19:50:00,2025-07-26 21:02:00,WN,BOS,DEN,459,16.88,16.34,0.5,0.0,17.8,-0.6139,-0.0938,51,BOS-DEN,72,19,0,0,0,0,0,0,12,2025-07-26 20:02:00,2025-07-26 21:06:00,4,0
2025-09-02 12:45:00,2025-09-02 15:01:00,UA,DEN,JFK,1267,4.38,6.78,0.55,2.07,15.39,0.4345,-0.9969,49,DEN-JFK,136,12,0,0,0,0,0,0,11,2025-09-02 12:56:00,2025-09-02 15:04:00,3,0
2025-12-10 07:10:00,2025-12-10 08:35:00,B6,JFK,SFO,624,9.67,12.71,0.04,0.0,10.19,0.3643,0.2352,56,JFK-SFO,85,7,0,0,0,0,0,0,8,2025-12-10 07:18:00,2025-12-10 08:36:00,1,0
2025-06-09 12:10:00,2025-06-09 17:54:00,WN,SFO,ATL,3860,14.31,15.66,0.0,0.45,17.84,0.6491,0.4768,93,SFO-ATL,344,12,0,0,0,0,0,0,-1,2025-06-09 12:09:00,2025-06-09 17:53:00,-1,0
2025-02-28 00:10:00,2025-02-28 05:33:00,DL,LAX,BOS,3598,0.99,3.56,5.84,4.97,12.77,-0.3453,-0.7761,1,LAX-BOS,323,0,0,1,0,0,0,0,5,2025-02-28 00:15:00,2025-02-28 05:47:00,14,0
2025-10-31 10:10:00,2025-10-31 12:11:00,B6,DFW,JFK,1074,12.48,12.66,0.0,0.0,12.54,0.107,-0.0681,79,DFW-JFK,121,10,0,0,0,0,0,0,2,2025-10-31 10:12:00,2025-10-31 12:09:00,-2,0
2025-08-18 12:10:00,2025-08-18 16:20:00,AA,BOS,DFW,2683,14.27,18.21,0.22,0.0,17.01,1.7715,-0.0795,57,BOS-DFW,250,12,0,0,0,0,0,0,13,2025-08-18 12:23:00,2025-08-18 16:31:00,11,0
2025-09-13 08:15:00,2025-09-13 10:23:00,AA,LAX,ATL,1161,12.55,13.09,1.75,3.26,15.58,0.033,-0.7272,64,LAX-ATL,128,8,0,0,0,0,0,0,-5,2025-09-13 08:10:00,2025-09-13 10:28:00,5,0
2025-02-05 19:30:00,2025-02-05 23:39:00,WN,DEN,DFW,2674,13.12,12.33,1.57,0.04,16.97,-1.8597,0.0191,12,DEN-DFW,249,19,0,0,0,0,0,0,-1,2025-02-05 19:29:00,2025-02-05 23:38:00,-1,0
2025-04-25 05:20:00,2025-04-25 11:20:00,WN,SFO,LAX,4063,9.23,12.13,1.44,0.0,14.07,0.4847,0.3169,82,SFO-LAX,360,5,0,0,0,0,0,0,10,2025-04-25 05:30:00,2025-04-25 11:21:00,1,0
2025-10-08 03:20:00,2025-10-08 09:15:00,WN,JFK,ATL,3995,15.54,14.12,0.0,0.39,17.17,1.1832,0.4066,91,JFK-ATL,355,3,0,1,0,0,0,0,5,2025-10-08 03:25:00,2025-10-08 09:12:00,-3,0
2025-10-31 12:10:00,2025-10-31 17:49:00,AA,JFK,DEN,3798,2.51,2.33,0.0,0.0,17.86,1.1416,-0.7434,79,JFK-DEN,339,12,0,0,0,0,0,0,34,2025-10-31 12:44:00,2025-10-31 18:31:00,42,1
2025-06-08 21:10:00,2025-06-08 23:30:00,UA,SFO,ORD,1312,5.85,2.72,0.0,0.38,16.36,-0.3276,0.457,45,SFO-ORD,140,21,0,1,0,0,0,0,-10,2025-06-08 21:00:00,2025-06-08 23:24:00,-6,0
2025-10-21 09:50:00,2025-10-21 11:53:00,WN,DEN,JFK,1101,13.7,15.17,6.03,5.51,12.92,-0.2599,0.3255,36,DEN-JFK,123,9,0,0,0,0,0,0,3,2025-10-21 09:53:00,2025-10-21 11:54:00,1,0
2025-11-04 01:30:00,2025-11-04 03:23:00,AA,JFK,ORD,973,14.21,17.71,0.0,0.0,16.91,0.7565,-0.6975,96,JFK-ORD,113,1,0,1,0,0,0,0,1,2025-11-04 01:31:00,2025-11-04 03:21:00,-2,0
2025-05-22 23:10:00,2025-05-23 00:52:00,WN,JFK,LAX,833,18.27,20.39,0.0,0.89,13.3,0.1417,-0.6039,65,JFK-LAX,102,23,0,1,0,0,0,0,-8,2025-05-22 23:02:00,2025-05-23 00:44:00,-8,0
2025-11-24 10:45:00,2025-11-24 15:10:00,AA,DEN,LAX,2877,24.39,23.56,0.0,1.86,10.99,0.5473,-0.3542,35,DEN-LAX,265,10,0,0,0,0,0,0,3,2025-11-24 10:48:00,2025-11-24 15:10:00,0,0
2025-04-16 04:45:00,2025-04-16 09:25:00,UA,ATL,DFW,3065,3.53,5.44,0.32,0.0,18.4,-0.5738,0.4687,86,ATL-DFW,280,4,0,1,0,0,0,0,9,2025-04-16 04:54:00,2025-04-16 09:06:00,-19,0
2025-03-29 14:50:00,2025-03-29 20:45:00,WN,DEN,SFO,4006,4.22,3.44,0.0,0.08,14.57,0.3647,-0.3441,46,DEN-SFO,355,14,0,0,0,0,0,0,-1,2025-03-29 14:49:00,2025-03-29 20:47:00,2,0
2025-09-07 07:10:00,2025-09-07 08:39:00,B6,BOS,SFO,679,18.6,15.31,0.0,0.0,12.21,-0.5381,0.5129,93,BOS-SFO,89,7,0,0,0,0,0,0,7,2025-09-07 07:17:00,2025-09-07 08:45:00,6,0
2025-08-21 22:40:00,2025-08-22 01:08:00,AA,ORD,ATL,1414,8.65,5.98,0.0,0.0,16.84,-0.2139,0.34,1,ORD-ATL,148,22,0,1,0,0,0,0,-3,2025-08-21 22:37:00,2025-08-22 01:02:00,-6,0
2025-02-21 07:50:00,2025-02-21 12:54:00,B6,ATL,ORD,3357,7.7,9.98,2.89,0.85,17.58,-1.0823,0.4618,50,ATL-ORD,304,7,0,0,0,0,0,0,14,2025-02-21 08:04:00,2025-02-21 13:12:00,18,1
2025-10-31 13:45:00,2025-10-31 18:33:00,AA,DEN,JFK,3161,16.97,14.92,7.48,7.69,15.24,-0.8129,-0.8517,1,DEN-JFK,288,13,0,0,0,0,0,0,-10,2025-10-31 13:35:00,2025-10-31 18:29:00,-4,0
2025-03-14 13:10:00,2025-03-14 16:33:00,UA,SEA,ATL,2095,10.97,11.36,0.2,0.0,16.18,-1.4345,-0.1147,70,SEA-ATL,203,13,0,0,0,0,0,0,4,2025-03-14 13:14:00,2025-03-14 16:48:00,15,1
2025-10-21 05:50:00,2025-10-21 07:40:00,WN,LAX,ORD,939,11.7,11.79,0.0,0.0,16.68,-1.5699,-0.6585,66,LAX-ORD,110,5,0,0,0,0,0,0,0,2025-10-21 05:50:00,2025-10-21 07:48:00,8,0
2025-01-03 11:20:00,2025-01-03 15:02:00,DL,ORD,ATL,2333,4.62,7.9,8.99,10.08,11.62,-0.9405,-0.8437,45,ORD-ATL,222,11,0,0,0,0,0,0,2,2025-01-03 11:22:00,2025-01-03 15:07:00,5,0
2025-10-18 02:20:00,2025-10-18 04:17:00,WN,ORD,DEN,1022,11.16,11.07,0.0,0.0,15.78,0.4226,-0.4123,0,ORD-DEN,117,2,0,1,0,0,0,0,-5,2025-10-18 02:15:00,2025-10-18 04:21:00,4,0
